block_timestamp,supply_rates,borrow_rates,prices_usd,total_supply_history,total_borrows_history
1602854954,0.007484399277936385,0.0200070653215166,1.000000,10582242708.40091736,88858958.059773606474
1602940464,0.007614927344164437,0.020181960887178035,1.000000,10651497575.73866382,90218464.469920685908
1603025973,0.00983709531286531,0.022945268076593847,1.000000,9589984452.35890756,92151378.298006484932
1603111482,0.011139098645138179,0.024437622877108052,1.000000,9540261942.16559129,97647224.217249341658
1603196991,0.011573716960083271,0.02491339983940787,1.000000,9453962295.25807259,98622051.817673885419
1603282501,0.012124195864418137,0.02550358507221083,1.000000,9312170482.69713248,99423962.520540182226
1603368010,0.012705046905409554,0.02610279720463062,1.000000,9224146194.41579018,100747581.02948438
1603453519,0.015197847112160824,0.028569177406232653,1.000000,9261872703.37166862,110650707.53697727
1603539029,0.016057125685375262,0.029376689689433435,1.000000,9629223296.90709117,118216437.29515384
1603624538,0.01955105366693534,0.032372490829088316,1.000000,9815784313.23381508,132497095.086187615160
1603710047,0.02670374651221181,0.037930707870612666,1.000000,9684927914.64417775,152884016.213425020790
1603795556,0.024260818587101968,0.03613391495287406,1.000000,10406037519.86115274,156526964.600112332395
1603881066,0.023126418213710583,0.03528365440285387,1.000000,11624055666.78767498,170792865.502803234238
1603966575,0.02241275069781655,0.03473571853394478,1.000000,12042690640.79681815,174404114.955699828475
1604052084,0.02424012564118084,0.03613549961305202,1.000000,11807470844.68313448,177747484.46191501
1604137593,0.026705135865316004,0.03794206940209001,1.000000,11427142548.73808514,180518027.44423433
1604223103,0.029656890554995926,0.04003534131793801,1.000000,11253573154.23938724,186970197.28008348
1604308612,0.026070738277889298,0.03748246054859891,1.000000,11265894954.39801562,175882591.08478575
1604394121,0.028373496729720837,0.03911564222559944,1.000000,11023308407.96496691,179484704.19201008
1604479631,0.029111415791260892,0.03962274447716687,1.000000,10976971989.88440806,181002451.48842726
1604565140,0.039035130611638214,0.05099297203681775,1.000000,10661586880.76706036,182804387.69870110
1604650649,0.03809775793215287,0.05000882648161832,1.000000,10750160220.64454976,183625197.01600616
1604736158,0.02576967359601047,0.03726683636925299,1.000000,11033216762.78504879,171330921.70094084
1604821668,0.02446608743513347,0.03630998911866504,1.000000,12446307358.03153894,188462197.65781262
1604907177,0.02499513305124676,0.03669503781995142,1.000000,12954625542.51756468,198017204.29619183
1604992686,0.027474087347572295,0.038472418683307,1.000000,13610512622.42469483,218183568.64845473
1605078195,0.03679976799298685,0.048599061288817066,1.000000,13714402231.79083381,232599950.30224300
1605163705,0.04348208515297017,0.056544996816560986,1.000000,13845051138.72098265,239226377.64165550
1605249214,0.029199231373894605,0.04073483417253131,1.000000,14621480809.79692430,233020760.86380828
1605334723,0.023292089211569902,0.03542289822889429,1.000000,15616809554.50082174,230923095.16798019
1605420233,0.024010105063227663,0.035967345950425014,1.000000,15701640239.85467243,235695130.19697314
1605505742,0.02543853387604569,0.03702062140993698,1.000000,15603252034.34757466,240919166.43459027
